Lot,Bedroom,Units,Electric,Internet,FiberOpt,HeatFuel,Rooms,Water,Built,Tenure,JuniorMtg,FamEmp,Lang,Family,HHpresence,Move,Npersons,Nchild,Under18,Over60,Over65,Workers,WkExp,WkStatus,Vehicles,BroadBND,HiWorth
1,3,2,70,3,,1,5,660,3,2,,,2,1,4,7,3,0,0,2,2,0,9,,2,,0
2,3,2,100,3,,3,5,3000,3,1,3,,1,5,4,1,,0,0,0,0,,,,1,,0
1,2,2,60,1,2,1,4,810,1,1,1,,1,1,4,4,2,0,0,0,0,2,1,,2,1,0
1,5,2,80,1,2,1,8,3000,6,1,3,2,1,1,4,5,3,0,0,0,0,2,4,3,3,1,0
1,2,1,50,3,,3,5,240,6,2,,,1,6,4,5,,0,0,0,0,,,,1,,0
1,2,2,70,1,2,1,6,720,4,2,,,1,4,4,7,,0,0,1,1,,,,0,2,0
1,3,2,70,1,2,1,5,440,3,1,3,2,2,1,3,5,6,4,1,0,0,1,3,3,1,2,0
1,4,2,80,1,2,1,9,700,4,1,3,2,1,1,2,5,5,2,1,1,0,3,4,3,1,1,0
1,4,2,160,1,2,1,7,690,4,2,,4,1,1,4,7,2,0,0,2,2,0,9,9,2,2,0
1,3,2,30,1,2,1,7,360,2,1,2,5,1,2,4,5,2,0,0,1,1,1,10,10,3,2,0
1,3,2,70,1,2,1,7,1200,6,1,2,1,1,1,4,6,2,0,0,2,2,2,4,1,2,2,0
1,4,2,20,1,1,1,10,1000,8,1,2,1,1,1,4,5,3,0,0,0,0,3,4,2,4,1,0
1,0,2,60,1,2,3,1,70,6,1,3,1,2,1,2,4,4,2,1,0,0,2,5,4,2,2,0
1,2,2,540,1,2,3,3,4100,2,1,2,,1,1,4,6,2,0,0,0,0,2,5,,2,1,0
1,5,2,230,1,2,1,10,950,16,2,,1,1,1,2,3,4,2,1,0,0,2,1,1,3,2,0
1,3,2,90,1,2,1,7,800,3,2,,4,1,1,4,7,2,0,0,2,2,0,9,9,2,2,0
1,3,2,110,1,2,1,7,900,11,1,3,,1,4,4,4,,0,0,0,0,,,,2,1,0
1,4,2,200,1,2,1,9,1200,3,1,3,,1,6,4,7,,0,0,1,1,,,,1,2,1
1,3,1,50,1,2,3,5,100,7,1,3,,1,4,4,5,,0,0,0,0,,,,1,1,0
